node1ID,node2ID,branchID,x1,y1,z1,x2,y2,z2,radius,length,R,G,B,time,type,name,suf,suf1,kx,kr,jr,psi,jxl,psi_soil
0,1,0,0,0,-0,-0.7819,0.0118,-0.6233,0.1258,1,1,0,0,0.8765,1,Taproot,-3.624247296410142,2.375487249047141e-4,0.6354837468149122,-4.761953896871205,0.00306579986778572,-14990.276249907249,42.00814438111367,-14770.937249999999
1,2,0,-0.7819,0.0118,-0.6233,-1.3441,0.0224,-1.0482,0.1258,0.7048,1,0,0,1.4998,1,Taproot,-3.776561565247414,1.6727784878148018e-4,0.6354837468149122,-4.761953896871205,0.0035858272885839065,-14983.42349253236,42.00507858127259,-14614.7865
2,3,0,-1.3441,0.0224,-1.0482,-1.9583,-0.2539,-1.7874,0.1258,1,1,0,0,2.3923,1,Taproot,-3.6250028213190286,2.3713583004923358e-4,0.6354837468149122,-4.761953896871205,0.00868969617969764,-14973.786408627655,41.6365582981506,-14343.130500000001
3,4,0,-1.9583,-0.2539,-1.7874,-1.9742,-0.261,-1.8066,0.1258,0.0259,1,0,0,2.4155,1,Taproot,-5.2119269569444855,6.1386524115860626e-6,0.6354837468149122,-4.761953896871205,2.2581142582478269e-4,-14973.536834814613,41.627868601908304,-14336.074499999999
4,5,0,-1.9742,-0.261,-1.8066,-2.4594,-0.7366,-2.5399,0.1258,0.9997,1,0,0,3.3175,1,Taproot,-3.6255763848346754,2.3682285649978332e-4,0.6354837468149122,-4.761953896871205,0.012333062683356178,-14964.003119145662,41.20418848522385,-14066.586749999999
5,6,0,-2.4594,-0.7366,-2.5399,-2.9236,-1.2217,-3.2382,0.1258,0.9687,1,0,0,4.201,1,Taproot,-3.6396725385923543,2.292595636119974e-4,0.6354837468149122,-4.761953896871205,0.015226162753075199,-14954.844115428878,40.8529788812412,-13809.9615
6,7,0,-2.9236,-1.2217,-3.2382,-3.3357,-1.8041,-3.9389,0.1258,1,1,0,0,5.1229,1,Taproot,-3.626267951704796,2.364460418783061e-4,0.6354837468149122,-4.761953896871205,0.019112923276043522,-14945.507209418925,40.34500106430479,-13552.45425
7,8,0,-3.3357,-1.8041,-3.9389,-3.3647,-1.8421,-3.9864,0.1258,0.0674,1,0,0,5.1853,1,Taproot,-4.797825710238764,1.5928478357245824e-5,0.6354837468149122,-4.761953896871205,0.0012997073255953157,-14944.878061026027,40.32588814114272,-13534.998
8,9,0,-3.3647,-1.8421,-3.9864,-3.6989,-2.1997,-4.5842,0.1258,0.7726,1,0,0,5.9051,1,Taproot,-3.7386984892866106,1.8251623889918898e-4,0.6354837468149122,-4.761953896871205,0.017178387567542825,-14937.739487954263,39.923992411050975,-13315.306499999999
9,10,0,-3.6989,-2.1997,-4.5842,-4.0196,-2.6607,-5.3326,0.1258,0.9357,1,0,0,6.7853,1,Taproot,-3.6558520761915836,2.2087569233252257e-4,0.6354837468149122,-4.761953896871205,0.02422361594185972,-14929.193711599808,39.46681136695075,-13040.2695
10,11,0,-4.0196,-2.6607,-5.3326,-4.3126,-3.0894,-6.0746,0.1258,0.9056,1,0,0,7.646,1,Taproot,-3.6704053318666636,2.1359676365903223e-4,0.6354837468149122,-4.761953896871205,0.02671769040541752,-14921.026717892311,38.972524535102174,-12767.584499999997
11,12,0,-4.3126,-3.0894,-6.0746,-4.3592,-3.3788,-6.9934,0.1258,0.9645,1,0,0,8.5725,1,Taproot,-3.6433889074736365,2.2730610099051636e-4,0.6354837468149122,-4.761953896871205,0.0327980327210347,-14912.40364660454,38.63918502375544,-12429.9255
12,13,0,-4.3592,-3.3788,-6.9934,-4.4496,-3.6843,-7.9413,0.1258,1,1,0,0,9.544,1,Taproot,-3.6280492873127015,2.3547820286831328e-4,0.6354837468149122,-4.761953896871205,0.0386494238176172,-14903.57861845267,38.14345638436286,-12081.57225
13,14,0,-4.4496,-3.6843,-7.9413,-4.4577,-3.7038,-8.0033,0.1258,0.0655,1,0,0,9.6081,1,Taproot,-4.811999811760811,1.5417011211793404e-5,0.6354837468149122,-4.761953896871205,0.002547734878651505,-14903.000891273328,38.1048069602219,-12058.787250000001
14,15,0,-4.4577,-3.7038,-8.0033,-4.5749,-4.0386,-8.9382,0.1258,1,1,0,0,10.5918,1,Taproot,-3.628428469120933,2.3527269695755292e-4,0.6354837468149122,-4.761953896871205,0.04353154154808749,-14894.315007192577,37.54479489743281,-11715.2115
15,16,0,-4.5749,-4.0386,-8.9382,-4.5863,-4.0816,-9.074,0.1258,0.1428,1,0,0,10.7333,1,Taproot,-4.473900700365008,3.358143880349234e-5,0.6354837468149122,-4.761953896871205,0.006304067349581746,-14893.07548629721,37.50126335572403,-11665.305
16,17,0,-4.5863,-4.0816,-9.074,-4.57,-4.3176,-9.9211,0.1258,0.8795,1,0,0,11.6097,1,Taproot,-3.684568415756468,2.0674336670280593e-4,0.6354837468149122,-4.761953896871205,0.042517825764203675,-14885.555199143528,36.96002768224618,-11353.99575
17,18,0,-4.57,-4.3176,-9.9211,-4.4578,-4.4199,-10.9095,0.1258,1,1,0,0,12.6174,1,Taproot,-3.629121016539019,2.348978184809726e-4,0.6354837468149122,-4.761953896871205,0.05320126328727605,-14877.141955130728,36.371824354072714,-10990.758749999999
18,19,0,-4.4578,-4.4199,-10.9095,-4.4526,-4.4339,-11.0849,0.1258,0.176,1,0,0,12.796,1,Taproot,-4.38380397115882,4.1323398259941604e-5,0.6354837468149122,-4.761953896871205,0.009506654148276741,-14875.66250118948,36.31862309079588,-10926.29925
19,20,0,-4.4526,-4.4339,-11.0849,-4.4689,-4.4027,-12.0843,0.1258,1,1,0,0,13.8182,1,Taproot,-3.6295073417257435,2.3468895883040715e-4,0.6354837468149122,-4.761953896871205,0.05897077252424329,-14867.401049174036,35.718967507141066,-10559.019750000001
20,21,0,-4.4689,-4.4027,-12.0843,-4.4689,-4.4027,-12.0866,0.1258,0.0023,1,0,0,13.8205,1,Taproot,-6.267941172861022,5.395837066027887e-7,0.6354837468149122,-4.761953896871205,1.3552918252101285e-4,-14867.382063563702,35.659996738778105,-10558.1745
21,22,0,-4.4689,-4.4027,-12.0866,-4.4953,-4.3853,-13.039,0.1258,0.9529,1,0,0,14.8064,1,Taproot,-3.650771438040864,2.2347480240997972e-4,0.6354837468149122,-4.761953896871205,0.06066060368443024,-14859.664828274243,35.01665041474937,-10208.1675
22,23,0,-4.4953,-4.3853,-13.039,-4.5065,-4.4032,-14.032,0.1258,0.9933,1,0,0,15.8464,1,Taproot,-3.6330385998139874,2.327884347607819e-4,0.6354837468149122,-4.761953896871205,0.06808328542551587,-14851.796340735464,34.25519840718309,-9843.24
23,24,0,-4.5065,-4.4032,-14.032,-4.2834,-4.2917,-15.0004,0.1258,1,1,0,0,16.9068,1,Taproot,-3.6304172450489536,2.3419776972458754e-4,0.6354837468149122,-4.761953896871205,0.07330223116003837,-14844.042851825665,33.5317320412351,-9487.353000000001
24,25,0,-4.2834,-4.2917,-15.0004,-4.2809,-4.2905,-15.0111,0.1258,0.011,1,0,0,16.9185,1,Taproot,-5.589173339151117,2.5752930798981464e-6,0.6354837468149122,-4.761953896871205,8.063266970983801e-4,-14843.957657776331,33.45842981220791,-9483.420750000001
25,26,0,-4.2809,-4.2905,-15.0111,-4.2208,-4.1144,-15.7996,0.1258,0.8102,1,0,0,17.7877,1,Taproot,-3.722091020548543,1.8963084463853163e-4,0.6354837468149122,-4.761953896871205,0.06256557794412804,-14837.82776897671,32.71595842414271,-9193.647
26,27,0,-4.2208,-4.1144,-15.7996,-4.1271,-3.9891,-16.76,0.1258,0.973,1,0,0,18.8436,1,Taproot,-3.6428204188873945,2.2760383798917452e-4,0.6354837468149122,-4.761953896871205,0.07974462370758047,-14830.615261185887,32.06252538213185,-8840.699999999999
27,28,0,-4.1271,-3.9891,-16.76,-3.9816,-3.8443,-17.6453,0.1258,0.9088,1,0,0,19.842,1,Taproot,-3.672720294317126,2.1246123698419488e-4,0.6354837468149122,-4.761953896871205,0.07844045882569277,-14824.039788556005,31.29587510357598,-8515.352250000002
28,29,0,-3.9816,-3.8443,-17.6453,-3.8554,-3.7326,-18.5445,0.1258,0.9149,1,0,0,20.8593,1,Taproot,-3.6700531156476592,2.1377006256758786e-4,0.6354837468149122,-4.761953896871205,0.08301970538479975,-14817.589711831928,30.49766637286814,-8184.896250000001
29,30,0,-3.8554,-3.7326,-18.5445,-3.8204,-3.7987,-19.5016,0.1258,0.96,1,0,0,21.9402,1,Taproot,-3.649391149108482,2.241861872134452e-4,0.6354837468149122,-4.761953896871205,0.0916439348138632,-14811.002721798073,29.68728432557637,-7833.162
30,31,0,-3.8204,-3.7987,-19.5016,-3.7434,-4.1412,-20.438,0.1258,1,1,0,0,23.0812,1,Taproot,-3.631899201672734,2.3339997131122223e-4,0.6354837468149122,-4.761953896871205,0.10007763352396909,-14804.352141527112,28.780553165842246,-7489.035000000001
31,32,0,-3.7434,-4.1412,-20.438,-3.7407,-4.1733,-20.5448,0.1258,0.1115,1,0,0,23.2094,1,Taproot,-4.584755754461551,2.6016222941347877e-5,0.6354837468149122,-4.761953896871205,0.011212867342457434,-14803.612037847937,28.680475532542282,-7449.786
32,33,0,-3.7407,-4.1733,-20.5448,-3.6983,-4.3241,-21.3863,0.1258,0.8559,1,0,0,24.2,1,Taproot,-3.699717880905515,1.996558864872145e-4,0.6354837468149122,-4.761953896871205,0.0896553986946059,-14798.096722433915,27.88238721873935,-7140.534750000001
33,34,0,-3.6983,-4.3241,-21.3863,-3.6439,-4.5675,-22.3547,0.1258,1,1,0,0,25.3724,1,Taproot,-3.632346409694937,2.3315975500327638e-4,0.6354837468149122,-4.761953896871205,0.1095359017990487,-14791.843360552639,27.069298403891697,-6784.64775
34,35,0,-3.6439,-4.5675,-22.3547,-3.6415,-4.5773,-22.3949,0.1258,0.0414,1,0,0,25.4214,1,Taproot,-5.01545886192831,9.650307189598693e-6,0.6354837468149122,-4.761953896871205,0.004541307876168334,-14791.585017922545,26.959762501960498,-6769.87425
35,36,0,-3.6415,-4.5773,-22.3949,-3.6133,-4.7746,-23.2586,0.1258,0.8864,1,0,0,26.4751,1,Taproot,-3.684924529596986,2.065739102616833e-4,0.6354837468149122,-4.761953896871205,0.10104576070655473,-14786.270013515303,25.95397933114503,-6452.4645
36,37,0,-3.6133,-4.7746,-23.2586,-3.5535,-4.8014,-24.2304,0.1258,0.974,1,0,0,27.6485,1,Taproot,-3.644178929113948,2.268929861297049e-4,0.6354837468149122,-4.761953896871205,0.11571589237815627,-14780.69549848696,24.782612513666624,-6095.328
37,38,0,-3.5535,-4.8014,-24.2304,-3.5352,-4.7951,-25.2302,0.1258,1,1,0,0,28.8706,1,Taproot,-3.6329208942316833,2.3285153529022362e-4,0.6354837468149122,-4.761953896871205,0.12375349455197328,-14775.207282103385,23.770977778299542,-5727.9015
38,39,0,-3.5352,-4.7951,-25.2302,-3.5358,-4.7957,-25.4221,0.1258,0.1919,1,0,0,29.1072,1,Taproot,-4.349952930664631,4.4673200685592104e-5,0.6354837468149122,-4.761953896871205,0.023924783839520625,-14774.157373142041,23.6472242839043,-5657.37825
39,40,0,-3.5358,-4.7957,-25.4221,-3.5424,-4.8019,-26.4221,0.1258,1,1,0,0,30.3509,1,Taproot,-3.6331311065347007,2.3273885503479727e-4,0.6354837468149122,-4.761953896871205,0.1296549837581945,-14768.846601769132,23.007365874624814,-5289.87825
